prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
11,91,cashew,cashew,specific,{} with stuck together,cashew with stuck together,0.9681274900398408,0.9780876494023903,-0.87890625,-1.4765625,-0.8762138944223108,0.4704621319962723,502,medium,visa,91.74,84.33,92.43
10,90,cashew,cashew,specific,{} with burnt,cashew with burnt,0.4183266932270916,0.4721115537848606,0.08203125,-0.559375,0.0549520667330677,0.4689696976828779,502,medium,visa,91.74,84.33,92.43
4,84,cashew,cashew,generic,blemished {},blemished cashew,0.0776892430278884,0.0876494023904382,0.5859375,0.078125,0.5972516185258964,0.429494500269225,502,low,visa,91.74,84.33,92.43
8,88,cashew,cashew,specific,{} with breakage,cashew with breakage,0.0318725099601593,0.0398406374501992,1.0,0.35234375,1.008870766932271,0.5149979573904098,502,low,visa,91.74,84.33,92.43
7,87,cashew,cashew,generic,{} with damage,cashew with damage,0.0059760956175298,0.0139442231075697,0.9453125,0.48515625,0.9489230577689244,0.3746906893888994,502,low,visa,91.74,84.33,92.43
1,81,cashew,cashew,generic,flawed {},flawed cashew,0.0,0.0,3.2578125,2.4140625,3.19507905876494,0.5552915484611247,502,low,visa,91.74,84.33,92.43
2,82,cashew,cashew,generic,abnormal {},abnormal cashew,0.0,0.0,2.46875,1.953125,2.4467598356573705,0.3724131358468779,502,low,visa,91.74,84.33,92.43
5,85,cashew,cashew,generic,{} with flaw,cashew with flaw,0.0,0.0,2.1015625,1.609375,2.076304158366534,0.3685639998485863,502,low,visa,91.74,84.33,92.43
7,100,chewinggum,chewing gum,generic,{} with damage,chewing gum with damage,1.0,1.0,-2.4140625,-3.10625,-2.391034962871287,0.5645115019473853,505,high,visa,92.54,95.13,96.11
9,102,chewinggum,chewing gum,specific,{} with scratches,chewing gum with scratches,1.0,1.0,-6.2734375,-7.0515625,-6.257038985148514,0.6403037267851274,505,high,visa,92.54,95.13,96.11
10,103,chewinggum,chewing gum,specific,{} with chunk of gum missing,chewing gum with chunk of gum missing,1.0,1.0,-2.1484375,-2.996875,-2.173027537128713,0.6134962208180738,505,high,visa,92.54,95.13,96.11
11,104,chewinggum,chewing gum,specific,{} with colour spot,chewing gum with colour spot,1.0,1.0,-4.1015625,-5.15625,-4.079818997524752,0.8519098371743595,505,high,visa,92.54,95.13,96.11
12,105,chewinggum,chewing gum,specific,{} with cracks,chewing gum with cracks,1.0,1.0,-1.9140625,-2.7421875,-1.9141939975247524,0.6310272790835981,505,high,visa,92.54,95.13,96.11
0,93,chewinggum,chewing gum,generic,damaged {},damaged chewing gum,0.996039603960396,0.998019801980198,-1.4765625,-2.1609375,-1.4863474628712872,0.5262564778491283,505,medium,visa,92.54,95.13,96.11
8,101,chewinggum,chewing gum,specific,{} with corner missing,chewing gum with corner missing,0.9821782178217822,0.986138613861386,-1.578125,-2.6140625,-1.5922107054455443,0.7686775853442432,505,medium,visa,92.54,95.13,96.11
1,94,chewinggum,chewing gum,generic,flawed {},flawed chewing gum,0.9504950495049505,0.9623762376237625,-1.28125,-2.434375,-1.3213258044554457,0.8830847458223899,505,low,visa,92.54,95.13,96.11
5,98,chewinggum,chewing gum,generic,{} with flaw,chewing gum with flaw,0.9465346534653464,0.9504950495049505,-1.0546875,-2.0,-1.0713103341584158,0.6970722367488217,505,low,visa,92.54,95.13,96.11
3,96,chewinggum,chewing gum,generic,imperfect {},imperfect chewing gum,0.6712871287128713,0.7108910891089109,-0.328125,-1.1796875,-0.3504873143564356,0.6277376310364768,505,low,visa,92.54,95.13,96.11
4,97,chewinggum,chewing gum,generic,blemished {},blemished chewing gum,0.4514851485148515,0.4732673267326732,0.1015625,-1.0671875,0.0448561262376237,0.8351285706425018,505,low,visa,92.54,95.13,96.11
6,99,chewinggum,chewing gum,generic,{} with defect,chewing gum with defect,0.3881188118811881,0.4297029702970297,0.1640625,-0.5453124999999999,0.1226098391089108,0.5329807619287287,505,low,visa,92.54,95.13,96.11
2,95,chewinggum,chewing gum,generic,abnormal {},abnormal chewing gum,0.0732673267326732,0.0871287128712871,0.875,0.09375,0.8826191212871287,0.617298322058066,505,low,visa,92.54,95.13,96.11
9,115,fryum,fryum,specific,{} with scratches,fryum with scratches,1.0,1.0,-1.423828125,-2.05078125,-1.4348932395418326,0.4660153466257481,502,high,visa,86.77,86.1,87.1
11,117,fryum,fryum,specific,{} with colour spot,fryum with colour spot,1.0,1.0,-2.23046875,-2.85390625,-2.2424909736055776,0.509621916747696,502,high,visa,86.77,86.1,87.1
13,119,fryum,fryum,specific,{} with colour spot,fryum with colour spot,1.0,1.0,-2.23046875,-2.85390625,-2.2424909736055776,0.509621916747696,502,high,visa,86.77,86.1,87.1
1,107,fryum,fryum,generic,flawed {},flawed fryum,0.9820717131474104,0.9840637450199204,-1.5,-2.463671875,-1.4954245517928286,0.738182211305167,502,medium,visa,86.77,86.1,87.1
5,111,fryum,fryum,generic,{} with flaw,fryum with flaw,0.9760956175298804,0.9840637450199204,-0.927734375,-1.6328125,-0.943452751494024,0.5179257832103358,502,medium,visa,86.77,86.1,87.1
8,114,fryum,fryum,specific,{} with breakage,fryum with breakage,0.9581673306772908,0.9681274900398408,-1.1328125,-1.8828125,-1.102504046314741,0.6064554735532663,502,medium,visa,86.77,86.1,87.1
3,109,fryum,fryum,generic,imperfect {},imperfect fryum,0.9083665338645418,0.9143426294820716,-1.15234375,-2.249609375,-1.1388975348605577,0.8579062452868518,502,medium,visa,86.77,86.1,87.1
6,112,fryum,fryum,generic,{} with defect,fryum with defect,0.8844621513944223,0.9143426294820716,-0.49609375,-1.085546875,-0.5216866907370518,0.433794972884422,502,medium,visa,86.77,86.1,87.1
0,106,fryum,fryum,generic,damaged {},damaged fryum,0.7928286852589641,0.8286852589641435,-0.37890625,-1.054296875,-0.4194160856573705,0.490549174176549,502,low,visa,86.77,86.1,87.1
2,108,fryum,fryum,generic,abnormal {},abnormal fryum,0.1394422310756972,0.1633466135458167,0.779296875,-0.1351562499999999,0.797824327689243,0.697296724751419,502,low,visa,86.77,86.1,87.1
7,113,fryum,fryum,generic,{} with damage,fryum with damage,0.0916334661354581,0.1155378486055776,0.658203125,0.027734375,0.6449047559760956,0.4814656110536024,502,low,visa,86.77,86.1,87.1
12,118,fryum,fryum,specific,{} with fryum stuck together,fryum with fryum stuck together,0.0,0.0019920318725099,1.62890625,0.98828125,1.6130205739541832,0.4782856702897164,502,low,visa,86.77,86.1,87.1
4,110,fryum,fryum,generic,blemished {},blemished fryum,0.0,0.0,1.984375,1.375390625,1.9692285545318724,0.4349232980805673,502,low,visa,86.77,86.1,87.1
10,116,fryum,fryum,specific,{} with burnt,fryum with burnt,0.0,0.0,2.158203125,1.551171875,2.155518550796813,0.4726791401403883,502,low,visa,86.77,86.1,87.1
0,159,macaroni1,macaroni,generic,damaged {},damaged macaroni,1.0,1.0,-2.390625,-3.45234375,-2.4540528318363277,0.7478313904980637,1002,high,visa,85.2,81.28,88.11
3,162,macaroni1,macaroni,generic,imperfect {},imperfect macaroni,1.0,1.0,-4.25,-5.140625,-4.320406062874252,0.5918024965317215,1002,high,visa,85.2,81.28,88.11
8,167,macaroni1,macaroni,specific,{} with color spot,macaroni with color spot,1.0,1.0,-4.0234375,-4.8359375,-4.0659774201596806,0.5651339242508278,1002,high,visa,85.2,81.28,88.11
9,168,macaroni1,macaroni,specific,{} with small chip around edge,macaroni with small chip around edge,1.0,1.0,-5.109375,-6.015625,-5.1128524201596806,0.6906764347792134,1002,high,visa,85.2,81.28,88.11
10,169,macaroni1,macaroni,specific,{} with small scratches,macaroni with small scratches,1.0,1.0,-3.70703125,-4.91328125,-3.7238491766467066,0.9156295057532938,1002,high,visa,85.2,81.28,88.11
12,171,macaroni1,macaroni,specific,{} with cracks,macaroni with cracks,1.0,1.0,-1.99609375,-2.89765625,-2.0444345683632736,0.6465670782330303,1002,high,visa,85.2,81.28,88.11
1,160,macaroni1,macaroni,generic,flawed {},flawed macaroni,0.994011976047904,0.996007984031936,-1.84765625,-2.8828125,-1.8664078093812373,0.777267403959017,1002,medium,visa,85.2,81.28,88.11
11,170,macaroni1,macaroni,specific,{} with breakage,macaroni with breakage,0.9870259481037924,0.9910179640718564,-0.984375,-1.6007812499999998,-0.9964134231536926,0.463791504791216,1002,low,visa,85.2,81.28,88.11
7,166,macaroni1,macaroni,generic,{} with damage,macaroni with damage,0.9730538922155688,0.9800399201596808,-1.0,-1.6953125,-1.0183773078842315,0.517669797595626,1002,low,visa,85.2,81.28,88.11
4,163,macaroni1,macaroni,generic,blemished {},blemished macaroni,0.9520958083832336,0.9630738522954092,-0.765625,-1.3976562499999998,-0.779090256986028,0.4669622966356802,1002,low,visa,85.2,81.28,88.11
2,161,macaroni1,macaroni,generic,abnormal {},abnormal macaroni,0.9191616766467066,0.934131736526946,-0.734375,-1.609375,-0.7958458083832335,0.605616727799111,1002,low,visa,85.2,81.28,88.11
