prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
8,48,capsule,capsule,specific,{} with crack,capsule with crack,0.04,0.04,1.0,0.3625,1.4725,1.190795427434956,25,medium,mvtec,85.16,84.72,85.16
11,51,capsule,capsule,specific,{} with scratch,capsule with scratch,0.04,0.04,1.0625,0.28125,1.34375,1.0488740242517212,25,medium,mvtec,85.16,84.72,85.16
1,41,capsule,capsule,generic,flawed {},flawed capsule,0.0,0.0,2.671875,1.78125,2.946875,1.116469393333288,25,low,mvtec,85.16,84.72,85.16
2,42,capsule,capsule,generic,abnormal {},abnormal capsule,0.0,0.0,2.734375,2.0375,3.24,1.1445598225955689,25,low,mvtec,85.16,84.72,85.16
3,43,capsule,capsule,generic,imperfect {},imperfect capsule,0.0,0.0,4.28125,3.34375,4.8765625,1.426455534051097,25,low,mvtec,85.16,84.72,85.16
4,44,capsule,capsule,generic,blemished {},blemished capsule,0.0,0.0,2.28125,1.565625,2.954375,1.4876570295266311,25,low,mvtec,85.16,84.72,85.16
10,50,capsule,capsule,specific,{} with poke,capsule with poke,0.0,0.0,1.921875,1.165625,2.69625,1.5722264766088887,25,low,mvtec,85.16,84.72,85.16
5,71,carpet,carpet,generic,{} with flaw,carpet with flaw,1.0,1.0,-2.2109375,-2.64375,-2.231770833333333,0.3153795284443896,30,high,mvtec,99.96,99.8,100.0
6,72,carpet,carpet,generic,{} with defect,carpet with defect,1.0,1.0,-1.0859375,-1.40625,-1.01875,0.3162380597218915,30,high,mvtec,99.96,99.8,100.0
8,74,carpet,carpet,specific,{} with hole,carpet with hole,1.0,1.0,-4.140625,-4.5765625,-4.191666666666666,0.3248831253526241,30,high,mvtec,99.96,99.8,100.0
9,75,carpet,carpet,specific,{} with color stain,carpet with color stain,1.0,1.0,-2.671875,-3.1875,-2.6359375,0.4142668520888237,30,high,mvtec,99.96,99.8,100.0
11,77,carpet,carpet,specific,{} with thread residue,carpet with thread residue,1.0,1.0,-3.7421875,-4.0546875,-3.7552083333333335,0.2890226136144982,30,high,mvtec,99.96,99.8,100.0
12,78,carpet,carpet,specific,{} with thread,carpet with thread,1.0,1.0,-4.703125,-5.0453125,-4.6703125,0.3081031833892395,30,high,mvtec,99.96,99.8,100.0
13,79,carpet,carpet,specific,{} with cut,carpet with cut,1.0,1.0,-3.921875,-4.2,-3.870833333333333,0.3385961494620922,30,high,mvtec,99.96,99.8,100.0
10,76,carpet,carpet,specific,{} with metal contamination,carpet with metal contamination,0.3,0.4,0.1796875,-0.2515625,0.1729166666666666,0.3159170815745099,30,low,mvtec,99.96,99.8,100.0
3,69,carpet,carpet,generic,imperfect {},imperfect carpet,0.1333333333333333,0.1333333333333333,0.453125,-0.159375,0.5,0.4675679540630075,30,low,mvtec,99.96,99.8,100.0
0,66,carpet,carpet,generic,damaged {},damaged carpet,0.0333333333333333,0.1,0.796875,0.1453125,0.7536458333333333,0.4077832311761633,30,low,mvtec,99.96,99.8,100.0
1,67,carpet,carpet,generic,flawed {},flawed carpet,0.0,0.0,2.2890625,1.784375,2.2544270833333333,0.3367642644541847,30,low,mvtec,99.96,99.8,100.0
2,68,carpet,carpet,generic,abnormal {},abnormal carpet,0.0,0.0,0.84375,0.26875,0.8057291666666667,0.3435293641672264,30,low,mvtec,99.96,99.8,100.0
4,70,carpet,carpet,generic,blemished {},blemished carpet,0.0,0.0,0.9609375,0.45,0.9489583333333332,0.3699955423905656,30,low,mvtec,99.96,99.8,100.0
7,73,carpet,carpet,generic,{} with damage,carpet with damage,0.0,0.0,1.0234375,0.4125,0.9919270833333332,0.3941945414132909,30,low,mvtec,99.96,99.8,100.0
0,120,grid,grid,generic,damaged {},damaged grid,1.0,1.0,-4.9140625,-5.9984375,-4.852581521739131,0.9807811172793932,23,high,mvtec,98.25,97.24,97.91
1,121,grid,grid,generic,flawed {},flawed grid,1.0,1.0,-2.7734375,-3.653125,-2.889266304347826,0.6945226040182713,23,high,mvtec,98.25,97.24,97.91
3,123,grid,grid,generic,imperfect {},imperfect grid,1.0,1.0,-5.78125,-6.9765625,-5.826766304347826,0.9067817621326214,23,high,mvtec,98.25,97.24,97.91
4,124,grid,grid,generic,blemished {},blemished grid,1.0,1.0,-4.109375,-4.7984375,-3.8963994565217392,0.8952172836611999,23,high,mvtec,98.25,97.24,97.91
5,125,grid,grid,generic,{} with flaw,grid with flaw,1.0,1.0,-4.8046875,-5.6609375,-4.930027173913044,0.5968413796091491,23,high,mvtec,98.25,97.24,97.91
6,126,grid,grid,generic,{} with defect,grid with defect,1.0,1.0,-5.609375,-6.5859375,-5.5040760869565215,0.8892081764308216,23,high,mvtec,98.25,97.24,97.91
7,127,grid,grid,generic,{} with damage,grid with damage,1.0,1.0,-4.9453125,-5.8515625,-4.808423913043479,0.6847534594706117,23,high,mvtec,98.25,97.24,97.91
8,128,grid,grid,specific,{} with breakage,grid with breakage,1.0,1.0,-3.6875,-4.5296875,-3.653872282608696,0.6593661248831569,23,high,mvtec,98.25,97.24,97.91
9,129,grid,grid,specific,{} with thread residue,grid with thread residue,1.0,1.0,-6.453125,-7.5203125,-6.432404891304348,0.8977463926708482,23,high,mvtec,98.25,97.24,97.91
