prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
2,42,capsule,capsule,generic,abnormal {},abnormal capsule,0.36,0.36,0.9688,0.2764,1.16,-1.56875,1.265625,25,1.094,0.5767,1.118,-1.44375,1.440625,109,-0.125,dangerous_useless
3,43,capsule,capsule,generic,imperfect {},imperfect capsule,0.04,0.04,0.7344,0.6826,0.2827,0.35,0.946875,25,0.703,0.6323,0.3352,0.16875,0.9875,109,0.03125,safe
4,44,capsule,capsule,generic,blemished {},blemished capsule,0.32,0.56,0.04688,-0.07623,0.399,-0.74375,0.203125,25,0.03125,-0.0526,0.439,-0.6421875,0.296875,109,0.01563,dangerous_useful
5,45,capsule,capsule,generic,{} with flaw,capsule with flaw,1.0,1.0,-1.875,-1.921,0.2861,-2.153125,-1.621875,25,-1.859,-1.908,0.4355,-2.40625,-1.453125,109,-0.01563,dangerous_useless
6,46,capsule,capsule,generic,{} with defect,capsule with defect,1.0,1.0,-1.969,-2.393,0.8555,-3.63125,-1.5031249999999998,25,-2.11,-2.205,0.7856,-3.2671875,-1.3468749999999998,109,0.1406,dangerous_useful
7,47,capsule,capsule,generic,{} with damage,capsule with damage,1.0,1.0,-2.625,-2.703,0.3247,-3.14375,-2.34375,25,-2.656,-2.674,0.464,-3.2203125,-2.225,109,0.03125,dangerous_useful
8,48,capsule,capsule,specific,{} with crack,capsule with crack,1.0,1.0,-1.797,-2.076,0.6514,-3.109375,-1.48125,25,-1.844,-2.043,0.666,-3.025,-1.390625,109,0.04688,dangerous_useful
9,49,capsule,capsule,specific,{} with faulty imprint,capsule with faulty imprint,1.0,1.0,-4.344,-4.25,0.4507,-4.678125,-3.53125,25,-4.39,-4.39,0.5864,-5.140625,-3.6375,109,0.04688,dangerous_useful
10,50,capsule,capsule,specific,{} with poke,capsule with poke,0.44,0.56,0.03125,-0.1907,0.5903,-0.8125,0.36875,25,0.1094,-0.145,0.7124,-1.20625,0.578125,109,-0.0781,dangerous_useless
11,51,capsule,capsule,specific,{} with scratch,capsule with scratch,1.0,1.0,-1.875,-2.096,0.4475,-2.815625,-1.6749999999999998,25,-1.906,-2.05,0.513,-2.771875,-1.6,109,0.03125,dangerous_useful
12,52,capsule,capsule,specific,{} squeezed with compression,capsule squeezed with compression,1.0,1.0,-3.422,-3.426,0.646,-4.109375,-2.61875,25,-3.422,-3.377,0.7485,-4.3,-2.25,109,0.0,dangerous_useless
0,66,carpet,carpet,generic,damaged {},damaged carpet,1.0,1.0,-1.402,-1.384,0.2416,-1.70078125,-1.078125,30,-2.5,-2.543,0.6724,-3.403125,-1.7687499999999998,89,1.098,dangerous_useful
1,67,carpet,carpet,generic,flawed {},flawed carpet,0.0,0.0,1.328,1.373,0.1982,1.1296875,1.63359375,30,1.078,1.062,0.3645,0.53125,1.51875,89,0.25,safe
2,68,carpet,carpet,generic,abnormal {},abnormal carpet,1.0,1.0,-2.191,-2.145,0.1832,-2.3828125,-1.93125,30,-1.477,-1.282,0.8755,-2.134375,-0.1812499999999998,89,-0.715,dangerous_useless
3,69,carpet,carpet,generic,imperfect {},imperfect carpet,1.0,1.0,-1.98,-1.973,0.2169,-2.21953125,-1.68515625,30,-1.1875,-1.227,0.3774,-1.63125,-0.7046874999999998,89,-0.793,dangerous_useless
4,70,carpet,carpet,generic,blemished {},blemished carpet,0.8666666666666667,0.9,-0.3672,-0.2993,0.2588,-0.57890625,0.02890625,30,0.10156,-0.002459,0.3484,-0.5249999999999999,0.3765625,89,-0.4688,dangerous_useless
5,71,carpet,carpet,generic,{} with flaw,carpet with flaw,1.0,1.0,-1.082,-1.07,0.1615,-1.2359375,-0.903125,30,-1.5625,-1.561,0.3464,-1.9609375,-1.171875,89,0.4805,dangerous_useful
6,72,carpet,carpet,generic,{} with defect,carpet with defect,1.0,1.0,-3.785,-3.787,0.357,-4.26875,-3.31484375,30,-4.203,-4.203,0.653,-5.125,-3.35,89,0.418,dangerous_useful
7,73,carpet,carpet,generic,{} with damage,carpet with damage,1.0,1.0,-1.246,-1.241,0.271,-1.56484375,-0.91796875,30,-1.953,-1.972,0.46,-2.5390625,-1.43125,89,0.707,dangerous_useful
8,74,carpet,carpet,specific,{} with hole,carpet with hole,1.0,1.0,-4.824,-4.83,0.303,-5.125,-4.61796875,30,-5.758,-5.797,0.635,-6.4625,-5.1296875,89,0.9336,dangerous_useful
9,75,carpet,carpet,specific,{} with color stain,carpet with color stain,1.0,1.0,-1.617,-1.574,0.2737,-1.88046875,-1.32421875,30,-1.375,-1.323,0.6787,-2.1796875,-0.53125,89,-0.2422,dangerous_useless
10,76,carpet,carpet,specific,{} with metal contamination,carpet with metal contamination,1.0,1.0,-2.906,-2.88,0.2974,-3.196875,-2.58046875,30,-3.734,-3.664,0.488,-4.215625,-3.00625,89,0.828,dangerous_useful
11,77,carpet,carpet,specific,{} with thread residue,carpet with thread residue,1.0,1.0,-4.86,-4.816,0.307,-5.1921875,-4.41875,30,-4.92,-5.06,0.632,-5.971875,-4.321875,89,0.0625,dangerous_useful
12,78,carpet,carpet,specific,{} with thread,carpet with thread,1.0,1.0,-4.633,-4.645,0.2751,-4.9890625,-4.27890625,30,-4.758,-4.824,0.521,-5.5640625,-4.290625,89,0.125,dangerous_useful
13,79,carpet,carpet,specific,{} with cut,carpet with cut,1.0,1.0,-2.7,-2.6,0.2457,-2.84609375,-2.27265625,30,-2.61,-2.662,0.4097,-3.2109375,-2.165625,89,-0.08984,dangerous_useless
0,120,grid,grid,generic,damaged {},damaged grid,1.0,1.0,-0.9844,-1.2,0.727,-2.16875,-0.425,23,-3.766,-3.59,1.253,-5.2875,-1.7656250000000004,57,2.781,dangerous_useful
1,121,grid,grid,generic,flawed {},flawed grid,0.0434782608695652,0.0434782608695652,1.391,1.411,0.6987,0.54375,2.15625,23,-0.04688,0.1121,0.8613,-0.9375,1.490625,57,1.4375,safe
2,122,grid,grid,generic,abnormal {},abnormal grid,0.0,0.0,1.969,1.967,0.55,1.278125,2.528125,23,1.578,1.593,0.5693,0.7906250000000001,2.275,57,0.3906,safe
3,123,grid,grid,generic,imperfect {},imperfect grid,0.2608695652173913,0.2608695652173913,0.797,0.67,0.8403,-0.55625,1.665625,23,-1.0,-0.7773,0.986,-1.903125,0.6593749999999996,57,1.797,dangerous_useful
4,124,grid,grid,generic,blemished {},blemished grid,0.0,0.0,1.375,1.294,0.336,1.021875,1.6515625,23,0.5938,0.66,0.5557,-0.0374999999999999,1.35625,57,0.7812,safe
5,125,grid,grid,generic,{} with flaw,grid with flaw,0.5652173913043478,0.5652173913043478,-0.03125,-0.03262,0.6616,-0.8937499999999999,0.8906250000000002,23,-1.0625,-1.037,0.562,-1.578125,-0.375,57,1.031,dangerous_useful
6,126,grid,grid,generic,{} with defect,grid with defect,0.7391304347826086,0.782608695652174,-0.2656,-0.2092,0.4834,-0.66875,0.23125,23,-1.531,-1.413,0.6973,-2.1125,-0.375,57,1.266,dangerous_useful
7,127,grid,grid,generic,{} with damage,grid with damage,0.3043478260869565,0.3478260869565217,0.2031,0.303,0.455,-0.20625,0.978125,23,-1.156,-1.108,0.753,-1.96875,-0.1375,57,1.359,dangerous_useful
8,128,grid,grid,specific,{} with breakage,grid with breakage,1.0,1.0,-0.797,-0.833,0.3452,-1.25625,-0.4343749999999999,23,-1.016,-0.9854,0.5215,-1.609375,-0.4,57,0.2188,dangerous_useful
9,129,grid,grid,specific,{} with thread residue,grid with thread residue,0.6956521739130435,0.6956521739130435,-0.125,-0.237,0.4612,-0.7625,0.36875,23,-0.6406,-0.7646,0.4949,-1.478125,-0.0937500000000001,57,0.5156,dangerous_useful
10,130,grid,grid,specific,{} with thread,grid with thread,0.6521739130434783,0.7391304347826086,-0.2656,-0.2479,0.4956,-0.96875,0.4281250000000001,23,-1.297,-1.192,0.7344,-1.984375,-0.2781250000000002,57,1.031,dangerous_useful
11,131,grid,grid,specific,{} with metal contamination,grid with metal contamination,1.0,1.0,-0.8125,-0.7637,0.3625,-1.159375,-0.1374999999999999,23,-1.219,-1.149,0.5957,-1.890625,-0.375,57,0.4062,dangerous_useful
12,132,grid,grid,specific,{} with glue,grid with glue,1.0,1.0,-1.453,-1.706,0.8145,-2.7625,-0.7687499999999999,23,-2.938,-3.098,1.079,-4.665625,-1.7000000000000002,57,1.484,dangerous_useful
13,133,grid,grid,specific,{} with a bent shape,grid with a bent shape,1.0,1.0,-4.484,-4.73,1.316,-6.625,-3.040625,23,-6.703,-6.73,1.07,-8.25,-5.196875,57,2.219,dangerous_useful
0,134,hazelnut,hazelnut,generic,damaged {},damaged hazelnut,1.0,1.0,-4.547,-4.434,0.9,-5.6796875,-3.20625,42,-4.35,-4.42,0.911,-5.421875,-3.3578125,70,-0.1953,dangerous_useless
1,135,hazelnut,hazelnut,generic,flawed {},flawed hazelnut,1.0,1.0,-2.281,-2.178,0.728,-2.9453125,-1.5015625,42,-2.75,-2.844,0.9004,-4.0859375,-1.746875,70,0.4688,dangerous_useful
2,136,hazelnut,hazelnut,generic,abnormal {},abnormal hazelnut,0.0,0.0,1.609,1.552,0.884,0.390625,2.6296875,42,1.07,1.048,1.029,-0.2375,2.465625,70,0.539,safe
3,137,hazelnut,hazelnut,generic,imperfect {},imperfect hazelnut,1.0,1.0,-2.867,-2.781,0.5083,-3.30625,-2.184375,42,-3.352,-3.23,0.627,-3.8640625,-2.359375,70,0.4844,dangerous_useful
4,138,hazelnut,hazelnut,generic,blemished {},blemished hazelnut,0.9761904761904762,0.9761904761904762,-0.4688,-0.497,0.321,-0.921875,-0.0953125,42,-0.4922,-0.553,0.4673,-1.1734375,-0.125,70,0.02344,dangerous_useful
5,139,hazelnut,hazelnut,generic,{} with flaw,hazelnut with flaw,0.1428571428571428,0.1666666666666666,0.828,0.7954,0.758,-0.046875,1.7015625,42,0.3203,0.3445,0.857,-0.83125,1.471875,70,0.508,safe
6,140,hazelnut,hazelnut,generic,{} with defect,hazelnut with defect,1.0,1.0,-1.547,-1.57,0.7114,-2.4796875,-0.5328125,42,-0.9688,-0.965,0.919,-2.10625,0.2578125000000001,70,-0.578,dangerous_useless
7,141,hazelnut,hazelnut,generic,{} with damage,hazelnut with damage,1.0,1.0,-2.188,-2.104,0.7285,-2.89375,-1.0421875000000005,42,-2.32,-2.332,0.8525,-3.4859375,-1.1296874999999995,70,0.1328,dangerous_useful
8,142,hazelnut,hazelnut,specific,{} with crack,hazelnut with crack,0.0714285714285714,0.0714285714285714,0.625,0.694,0.479,0.1796875,1.2453124999999998,42,0.1562,0.1322,0.5693,-0.6734375,0.84375,70,0.4688,safe
9,143,hazelnut,hazelnut,specific,{} with cut,hazelnut with cut,1.0,1.0,-1.914,-1.873,0.5854,-2.6578125,-1.0687500000000003,42,-1.875,-1.852,0.6426,-2.6765625,-1.0296875,70,-0.03906,dangerous_useless
10,144,hazelnut,hazelnut,specific,{} with hole,hazelnut with hole,0.0,0.0,3.312,3.262,0.907,2.1046875000000003,4.2671875,42,1.359,1.309,1.275,-0.3187499999999999,2.925,70,1.953,safe
11,145,hazelnut,hazelnut,specific,{} with print,hazelnut with print,0.0,0.0,3.188,3.207,0.8745,2.0171875,4.4265625,42,2.172,2.146,1.377,0.2765625,3.76484375,70,1.016,safe
0,146,leather,leather,generic,damaged {},damaged leather,0.6176470588235294,0.6470588235294118,-0.2344,-0.2141,0.4907,-0.959375,0.3953124999999999,34,-2.266,-2.178,0.8623,-3.2,-1.0999999999999996,92,2.031,dangerous_useful
1,147,leather,leather,generic,flawed {},flawed leather,0.1176470588235294,0.1176470588235294,0.6094,0.653,0.4802,0.0078125,1.3421875,34,-0.4297,-0.4192,0.3193,-0.78125,-0.078125,92,1.039,safe
2,148,leather,leather,generic,abnormal {},abnormal leather,0.0,0.0,2.39,2.418,0.1897,2.234375,2.63046875,34,2.766,2.799,0.4214,2.3796875,3.3875,92,-0.375,safe
3,149,leather,leather,generic,imperfect {},imperfect leather,0.6764705882352942,0.6764705882352942,-0.2969,-0.29,0.464,-0.8890625,0.2671874999999999,34,-1.328,-1.292,0.4443,-1.825,-0.671875,92,1.031,dangerous_useful
