,i_roc,p_roc,semantic_i_roc,memory_i_roc
mvtec-carpet,100.00,99.41,100.00,99.88
mvtec-grid,98.75,98.19,98.75,95.32
mvtec-leather,100.00,99.43,100.00,99.08
mvtec-tile,100.00,96.87,100.00,100.00
mvtec-wood,99.30,96.48,98.95,98.42
mvtec-bottle,99.92,98.76,97.74,99.68
mvtec-cable,97.38,97.02,87.76,95.43
mvtec-capsule,93.30,96.37,88.51,84.16
mvtec-hazelnut,100.00,98.76,92.39,100.00
mvtec-metal_nut,100.00,95.49,90.93,100.00
mvtec-pill,95.31,95.97,85.38,94.79
mvtec-screw,67.14,94.44,62.50,66.20
mvtec-toothbrush,97.22,99.08,67.22,97.22
mvtec-transistor,92.58,91.99,88.10,87.54
mvtec-zipper,97.61,92.82,97.03,91.89
