class,baseline_i_roc,baseline_semantic_i_roc,reduced_i_roc,reduced_semantic_i_roc,delta_i_roc,delta_semantic_i_roc
mvtec-carpet,100.00,100.00,100.00,99.96,0.00,-0.04
mvtec-grid,98.75,98.75,99.42,99.29,0.67,0.54
mvtec-leather,100.00,100.00,100.00,100.00,0.00,0.00
mvtec-tile,100.00,100.00,100.00,100.00,0.00,0.00
mvtec-wood,99.30,98.95,99.04,98.20,-0.26,-0.75
mvtec-bottle,99.92,97.74,99.68,97.38,-0.24,-0.36
mvtec-cable,97.38,87.76,97.68,88.50,0.30,0.74
mvtec-capsule,93.30,88.51,93.66,91.50,0.36,2.99
mvtec-hazelnut,100.00,92.39,100.00,92.79,0.00,0.40
mvtec-metal_nut,100.00,90.93,100.00,91.94,0.00,1.01
mvtec-pill,95.31,85.38,95.72,88.07,0.41,2.69
mvtec-screw,67.14,62.50,67.06,59.90,-0.08,-2.60
mvtec-toothbrush,97.22,67.22,97.50,86.94,0.28,19.72
mvtec-transistor,92.58,88.10,93.88,91.04,1.30,2.94
mvtec-zipper,97.61,97.03,97.90,97.40,0.29,0.37
AVERAGE,95.90,90.35,96.10,92.19,0.20,1.84
