class,baseline_i_roc,baseline_semantic_i_roc,reduced_i_roc,reduced_semantic_i_roc,delta_i_roc,delta_semantic_i_roc
mvtec-carpet,100.00,99.96,100.00,99.96,0.00,0.00
mvtec-grid,98.25,98.66,97.74,98.25,-0.51,-0.41
mvtec-leather,100.00,100.00,100.00,100.00,0.00,0.00
mvtec-tile,100.00,100.00,100.00,100.00,0.00,0.00
mvtec-wood,99.39,99.39,99.30,99.47,-0.09,0.08
mvtec-bottle,100.00,96.87,99.84,97.10,-0.16,0.23
mvtec-cable,92.65,83.18,93.37,84.93,0.72,1.75
mvtec-capsule,68.93,68.99,70.32,70.54,1.39,1.55
mvtec-hazelnut,99.79,92.77,99.75,93.57,-0.04,0.80
mvtec-metal_nut,99.02,90.71,99.22,93.04,0.20,2.33
mvtec-pill,94.11,85.99,94.11,85.90,0.00,-0.09
mvtec-screw,54.33,58.60,56.26,55.97,1.93,-2.63
mvtec-toothbrush,93.89,66.81,94.17,73.89,0.28,7.08
mvtec-transistor,81.83,81.48,83.25,82.62,1.42,1.14
mvtec-zipper,95.88,94.68,97.01,96.56,1.13,1.88
AVERAGE,91.87,87.87,92.29,88.79,0.42,0.91
