class,baseline_i_roc,baseline_semantic_i_roc,reduced_i_roc,reduced_semantic_i_roc,delta_i_roc,delta_semantic_i_roc
visa-candle,94.33,94.46,94.96,94.91,0.63,0.45
visa-capsules,76.55,66.54,76.42,66.19,-0.13,-0.35
visa-cashew,92.43,91.74,87.74,84.32,-4.69,-7.42
visa-chewinggum,96.11,92.54,96.25,93.30,0.14,0.76
visa-fryum,87.10,86.77,86.92,77.32,-0.18,-9.45
visa-macaroni1,88.11,85.20,88.78,85.75,0.67,0.55
visa-macaroni2,78.37,68.50,78.27,68.25,-0.10,-0.25
visa-pcb1,94.63,90.83,94.28,89.78,-0.35,-1.05
visa-pcb2,76.89,64.16,78.06,70.11,1.17,5.95
visa-pcb3,75.25,70.62,75.12,71.47,-0.13,0.85
visa-pcb4,83.96,81.02,86.64,84.92,2.68,3.90
visa-pipe_fryum,98.70,83.32,98.68,72.73,-0.02,-10.59
AVERAGE,86.87,81.31,86.84,79.92,-0.03,-1.39
