class,baseline_i_roc,baseline_semantic_i_roc,reduced_i_roc,reduced_semantic_i_roc,delta_i_roc,delta_semantic_i_roc
visa-candle,95.03,94.41,95.58,95.00,0.55,0.59
visa-capsules,70.64,57.74,70.34,61.55,-0.30,3.81
visa-cashew,88.85,87.05,88.92,86.74,0.07,-0.31
visa-chewinggum,95.96,95.25,95.71,93.48,-0.25,-1.77
visa-fryum,90.25,83.58,91.36,84.32,1.11,0.74
visa-macaroni1,87.30,82.69,89.60,86.23,2.30,3.54
visa-macaroni2,73.78,68.90,73.74,66.77,-0.04,-2.13
visa-pcb1,95.25,91.27,94.84,90.31,-0.41,-0.96
visa-pcb2,77.17,63.73,77.91,66.54,0.74,2.81
visa-pcb3,82.46,72.00,82.41,72.91,-0.05,0.91
visa-pcb4,88.34,81.98,89.87,84.80,1.53,2.82
visa-pipe_fryum,98.67,85.56,98.63,78.74,-0.04,-6.82
AVERAGE,86.98,80.35,87.41,80.62,0.43,0.27
