dataset,class,i_roc,duration,status
mvtec,bottle,99.52,6.895138502120972,success
mvtec,cable,94.58,9.77940058708191,success
mvtec,capsule,88.13,9.077110052108765,success
mvtec,carpet,100.0,8.778335332870483,success
mvtec,grid,97.24,6.361513614654541,success
mvtec,hazelnut,99.95,8.42915964126587,success
mvtec,leather,100.0,8.689450740814209,success
mvtec,metal_nut,98.68,7.019565105438232,success
mvtec,pill,91.88,8.462524652481079,success
mvtec,screw,69.66,7.566479206085205,success
mvtec,tile,99.86,7.8613622188568115,success
mvtec,toothbrush,93.61,6.3933491706848145,success
mvtec,transistor,89.92,8.222347497940063,success
mvtec,wood,98.6,7.780847072601318,success
mvtec,zipper,95.06,7.382411003112793,success
visa,candle,90.5,14.492912292480469,success
visa,capsules,76.8,11.756702423095703,success
visa,cashew,92.26,11.188591241836548,success
visa,chewinggum,95.64,10.366657495498657,success
visa,fryum,89.83,10.338011503219604,success
visa,macaroni1,79.1,14.27692198753357,success
visa,macaroni2,77.74,14.284334659576416,success
visa,pcb1,92.75,15.626696825027466,success
visa,pcb2,75.27,15.461508512496948,success
visa,pcb3,74.78,14.39920425415039,success
visa,pcb4,78.91,15.282706260681152,success
visa,pipe_fryum,87.68,10.205893516540527,success
