dataset,class,duration,status
mvtec,bottle,70.6022424697876,success
mvtec,cable,141.4343545436859,success
mvtec,capsule,125.93838500976562,success
mvtec,grid,61.015278339385986,success
mvtec,carpet,124.0436635017395,success
mvtec,hazelnut,108.58228063583374,success
mvtec,leather,115.28704309463501,success
mvtec,metal_nut,74.34890747070312,success
mvtec,pill,112.2531065940857,success
mvtec,screw,86.67194509506226,success
mvtec,tile,98.84009838104248,success
mvtec,toothbrush,67.64859676361084,success
mvtec,wood,97.4826431274414,success
mvtec,transistor,106.55637645721436,success
mvtec,zipper,84.34422159194946,success
visa,candle,228.792494058609,success
visa,capsules,170.845134973526,success
visa,cashew,162.0172634124756,success
visa,chewinggum,142.62442827224731,success
visa,fryum,144.9679970741272,success
visa,macaroni1,223.17790722846985,success
visa,macaroni2,220.62692308425903,success
visa,pcb1,261.064998626709,success
visa,pcb2,258.9603970050812,success
visa,pcb3,231.10951399803162,success
visa,pipe_fryum,137.8546335697174,success
visa,pcb4,244.8315839767456,success
