dataset,class,i_roc,duration,status
mvtec,bottle,99.72,6.899844646453857,success
mvtec,cable,73.43,9.821682929992676,success
mvtec,capsule,84.36,9.157461404800415,success
mvtec,carpet,100.0,8.900790929794312,success
mvtec,grid,95.82,6.407131671905518,success
mvtec,hazelnut,99.86,8.417480707168579,success
mvtec,leather,99.93,8.77407193183899,success
mvtec,metal_nut,100.0,7.060428142547607,success
mvtec,pill,93.63,8.502493858337402,success
mvtec,screw,67.72,7.608944892883301,success
mvtec,tile,100.0,7.900577068328857,success
mvtec,toothbrush,98.89,6.455151557922363,success
mvtec,transistor,90.67,8.314776420593262,success
mvtec,wood,98.6,7.803347587585449,success
mvtec,zipper,97.66,7.407578229904175,success
visa,candle,92.61,14.694499254226685,success
visa,capsules,79.5,11.77921199798584,success
visa,cashew,85.08,11.271281957626343,success
visa,chewinggum,93.68,10.390579462051392,success
visa,fryum,90.76,10.452744007110596,success
visa,macaroni1,81.64,14.414263725280762,success
visa,macaroni2,72.84,14.3097984790802,success
visa,pcb1,94.01,16.027197122573853,success
visa,pcb2,78.57,15.692492961883545,success
visa,pcb3,80.62,14.672141313552856,success
visa,pcb4,91.75,15.602119207382202,success
visa,pipe_fryum,98.64,10.256530523300171,success
