dataset,class,k_shot,task,mode,auroc,semantic_auroc,memory_auroc,gap,oracle_semantic_ratio,oracle_memory_ratio
visa,pcb2,1,seg,oracle,95.27105818107046,82.843717434427,95.27105818107046,12.427340746643452,,
visa,fryum,1,cls,semantic,80.723,,,,,
visa,fryum,1,cls,memory,84.05799999999999,,,,,
visa,fryum,1,cls,max,84.212,80.723,84.05799999999999,0.15399999999999858,,
visa,fryum,1,cls,harmonic,85.97300000000001,80.723,84.05799999999999,1.9150000000000111,,
visa,fryum,1,cls,oracle,100.0,80.723,84.05799999999999,15.942,82.33333333333334,17.666666666666668
visa,cashew,1,cls,semantic,93.18299999999999,,,,,
visa,cashew,1,cls,memory,84.76799999999999,,,,,
visa,cashew,1,cls,max,93.18299999999999,93.18299999999999,84.76799999999999,0.0,,
visa,cashew,1,cls,harmonic,85.667,93.18299999999999,84.76799999999999,-7.515999999999989,,
visa,cashew,1,cls,oracle,100.0,93.18299999999999,84.76799999999999,6.817000000000006,16.666666666666664,83.33333333333334
visa,candle,1,seg,semantic,89.24521818760688,,,,,
visa,candle,1,seg,memory,94.42308699819728,,,,,
visa,candle,1,seg,max,94.4360132864848,52.260750704209826,94.4360132864848,42.17526258227497,,
visa,candle,1,seg,harmonic,93.68642126181535,51.84592758146455,93.68642126181535,41.840493680350804,,
visa,candle,1,seg,oracle,94.4360132864848,52.260750704209826,94.4360132864848,42.17526258227497,,
visa,pcb2,1,cls,semantic,63.74825174825175,,,,,
visa,pcb2,1,cls,memory,78.05294705294705,,,,,
visa,pcb2,1,cls,max,78.60639360639361,63.74825174825175,78.05294705294705,0.5534465534465571,,
visa,pcb2,1,cls,harmonic,79.89460539460539,63.74825174825175,78.05294705294705,1.8416583416583365,,
visa,pcb2,1,cls,oracle,97.66733266733267,63.74825174825175,78.05294705294705,19.614385614385622,54.76839237057221,45.23160762942779
visa,pcb1,1,seg,semantic,85.70404554037644,,,,,
visa,pcb1,1,seg,memory,98.69034723698468,,,,,
visa,pcb1,1,seg,max,98.76956575640861,46.729629987908986,98.76956575640861,52.039935768499625,,
visa,pcb1,1,seg,harmonic,94.86405120033426,44.88186191562802,94.86405120033426,49.98218928470624,,
visa,pcb1,1,seg,oracle,98.76956575640861,46.729629987908986,98.76956575640861,52.039935768499625,,
visa,macaroni1,1,seg,semantic,94.64033893717682,,,,,
visa,macaroni1,1,seg,memory,89.19919616897654,,,,,
visa,macaroni1,1,seg,max,95.58183944106597,79.35861394883281,95.58183944106597,16.223225492233155,,
visa,macaroni1,1,seg,harmonic,96.34138362541661,79.98923974611232,96.34138362541661,16.352143879304293,,
visa,macaroni1,1,seg,oracle,95.58183944106597,79.35861394883281,95.58183944106597,16.223225492233155,,
visa,pipe_fryum,1,cls,semantic,88.06599999999999,,,,,
visa,pipe_fryum,1,cls,memory,99.214,,,,,
visa,pipe_fryum,1,cls,max,99.238,88.06599999999999,99.214,0.024000000000001798,,
visa,pipe_fryum,1,cls,harmonic,97.88900000000001,88.06599999999999,99.214,-1.3249999999999984,,
visa,pipe_fryum,1,cls,oracle,100.0,88.06599999999999,99.214,0.7859999999999978,83.16666666666667,16.833333333333332
visa,pcb3,1,seg,semantic,86.50720201205367,,,,,
visa,pcb3,1,seg,memory,95.59590264461625,,,,,
visa,pcb3,1,seg,max,96.08172496932903,61.45373673385205,96.08172496932903,34.627988235476984,,
visa,pcb3,1,seg,harmonic,92.56604978857116,59.205115811725605,92.56604978857116,33.36093397684556,,
