dataset,class,k_shot,task,max,harmonic,diff,semantic,memory,branch_gap,weak_branch
visa,cashew,1,seg,97.47362994222797,99.36933837335832,-1.8957084311303447,,,0.0,unknown
visa,pcb4,1,cls,86.64875621890548,83.20547263681593,3.443283582089549,86.64875621890548,81.68756218905473,4.961194029850745,memory
visa,chewinggum,1,seg,99.03873471946389,99.54255825781965,-0.5038235383557605,,,0.0,unknown
visa,pcb3,1,cls,75.58946322067594,72.70178926441352,2.887673956262418,72.70129224652088,70.97415506958251,1.7271371769383705,memory
visa,macaroni2,1,seg,95.13437967808234,95.13993358389087,-0.005553905808525883,,,0.0,unknown
visa,fryum,1,seg,94.38613996619983,96.24615563934678,-1.8600156731469468,,,0.0,unknown
visa,macaroni2,1,cls,68.027,67.8065,0.22050000000000125,68.027,66.97000000000001,1.056999999999988,memory
visa,capsules,1,cls,74.21677740863787,72.33803986710963,1.8787375415282384,59.91029900332225,74.16362126245846,14.253322259136212,semantic
visa,candle,1,cls,95.5905,90.511,5.07950000000001,95.5905,88.675,6.915500000000009,memory
visa,pcb4,1,seg,96.99262528999894,96.9494092085382,0.04321608146074141,,,0.0,unknown
visa,pipe_fryum,1,seg,99.37159990166818,99.47073131619462,-0.0991314145264397,,,0.0,unknown
visa,capsules,1,seg,93.3870533413448,70.68904119336487,22.698012147979924,,,0.0,unknown
visa,pcb1,1,cls,92.0921314741036,94.57420318725099,-2.4820717131473913,90.68974103585657,92.24501992031871,1.5552788844621404,semantic
visa,macaroni1,1,cls,76.9,74.976,1.9240000000000066,67.07600000000001,76.728,9.651999999999987,semantic
visa,pcb2,1,seg,95.27105818107046,96.11111145447848,-0.8400532734080173,,,0.0,unknown
visa,fryum,1,cls,84.212,85.97300000000001,-1.76100000000001,80.723,84.05799999999999,3.3349999999999937,semantic
visa,cashew,1,cls,93.18299999999999,85.667,7.515999999999991,93.18299999999999,84.76799999999999,8.415000000000006,memory
visa,candle,1,seg,94.4360132864848,93.68642126181535,0.7495920246694396,,,0.0,unknown
visa,pcb2,1,cls,78.60639360639361,79.89460539460539,-1.2882117882117825,63.74825174825175,78.05294705294705,14.3046953046953,semantic
visa,pcb1,1,seg,98.76956575640861,94.86405120033426,3.905514556074351,,,0.0,unknown
visa,macaroni1,1,seg,95.58183944106597,96.34138362541661,-0.759544184350645,,,0.0,unknown
visa,pipe_fryum,1,cls,99.238,97.88900000000001,1.3489999999999895,88.06599999999999,99.214,11.14800000000001,semantic
visa,pcb3,1,seg,96.08172496932903,92.56604978857116,3.5156751807578672,,,0.0,unknown
visa,chewinggum,1,cls,95.58051689860835,92.99602385685884,2.5844930417495107,95.58051689860835,92.45129224652088,3.1292246520874727,memory
visa,cashew,2,seg,95.56591149712949,93.71969389862592,1.8462175985035714,,,0.0,unknown
visa,pcb4,2,cls,85.7636815920398,77.7134328358209,8.050248756218906,85.7636815920398,77.06567164179104,8.69800995024876,memory
visa,chewinggum,2,seg,99.20893545608756,99.58299914945418,-0.3740636933666224,,,0.0,unknown
visa,pcb3,2,cls,73.76888667992048,73.00198807157057,0.7668986083499192,73.76888667992048,71.93936381709742,1.8295228628230689,memory
visa,macaroni2,2,seg,95.70362622254707,96.48138804944838,-0.7777618269013118,,,0.0,unknown
visa,fryum,2,seg,95.36518294968003,97.03140729800445,-1.6662243483244197,,,0.0,unknown
visa,macaroni2,2,cls,77.5565,76.92049999999999,0.6360000000000099,66.76149999999998,77.49499999999999,10.733500000000006,semantic
visa,capsules,2,cls,76.17109634551495,75.00996677740864,1.1611295681063183,55.942691029900324,76.39867109634551,20.455980066445186,semantic
visa,candle,2,cls,95.11800000000001,85.031,10.087000000000003,95.11800000000001,84.341,10.777000000000015,memory
visa,pcb4,2,seg,96.85820497876166,96.36568826440316,0.4925167143585014,,,0.0,unknown
visa,pipe_fryum,2,seg,99.53953816028184,99.50818104536576,0.03135711491607651,,,0.0,unknown
visa,capsules,2,seg,94.41353723781054,73.96046166938781,20.453075568422733,,,0.0,unknown
visa,pcb1,2,cls,93.1195219123506,94.68625498007968,-1.566733067729075,90.84661354581674,93.11752988047809,2.270916334661351,semantic
visa,macaroni1,2,cls,86.206,83.3825,2.82350000000001,83.55550000000001,81.279,2.276500000000013,memory
visa,pcb2,2,seg,95.45018951902901,95.53311983290206,-0.0829303138730495,,,0.0,unknown
visa,fryum,2,cls,86.24300000000001,86.707,-0.4639999999999844,77.483,86.10799999999999,8.624999999999986,semantic
visa,cashew,2,cls,92.38000000000001,85.694,6.686000000000007,92.38000000000001,84.34000000000002,8.039999999999992,memory
visa,candle,2,seg,95.16104574467902,94.17911646055977,0.9819292841192464,,,0.0,unknown
visa,pcb2,2,cls,75.15784215784215,77.0054945054945,-1.8476523476523425,64.08291708291709,74.9090909090909,10.826173826173815,semantic
visa,pcb1,2,seg,98.50068337662134,96.98711188882133,1.5135714878000073,,,0.0,unknown
visa,macaroni1,2,seg,96.57013187192817,96.98277069964811,-0.4126388277199453,,,0.0,unknown
visa,pipe_fryum,2,cls,98.79100000000001,98.249,0.5420000000000158,83.097,98.714,15.617000000000004,semantic
visa,pcb3,2,seg,95.40766167537687,93.90657996683758,1.5010817085392887,,,0.0,unknown
visa,chewinggum,2,cls,95.96123260437376,95.42942345924452,0.5318091451292446,95.96123260437376,95.12922465208747,0.8320079522862898,memory
visa,cashew,4,seg,95.29732625458233,91.95445375955818,3.342872495024153,,,0.0,unknown
visa,pcb4,4,cls,86.39850746268657,88.25273631840795,-1.854228855721388,80.1582089552239,86.37114427860698,6.212935323383078,semantic
visa,chewinggum,4,seg,99.14072243994568,99.60949826594236,-0.468775825996687,,,0.0,unknown
visa,pcb3,4,cls,81.93041749502983,81.47962226640159,0.4507952286282375,72.05318091451292,80.17296222664017,8.119781312127245,semantic
visa,macaroni2,4,seg,94.84360115921771,94.95689610805525,-0.11329494883753455,,,0.0,unknown
visa,fryum,4,seg,96.01561875546122,97.23277907361725,-1.2171603181560329,,,0.0,unknown
visa,macaroni2,4,cls,73.2415,71.03599999999999,2.205500000000015,63.1125,73.26400000000001,10.151500000000013,semantic
visa,capsules,4,cls,70.1295681063123,70.19186046511628,-0.06229235880397255,57.80813953488373,70.27906976744187,12.470930232558139,semantic
visa,candle,4,cls,95.113,86.81949999999999,8.293500000000009,95.113,86.07849999999999,9.034500000000008,memory
visa,pcb4,4,seg,97.9433273780934,97.88581897773484,0.05750840035855731,,,0.0,unknown
visa,pipe_fryum,4,seg,99.54223917493839,99.56919497537604,-0.02695580043764778,,,0.0,unknown
visa,capsules,4,seg,95.631540283649,66.09944227315965,29.53209801048935,,,0.0,unknown
visa,pcb1,4,cls,93.63645418326693,95.04631474103587,-1.409860557768937,91.1269920318725,93.67529880478087,2.5483067729083615,semantic
visa,macaroni1,4,cls,83.5685,87.2345,-3.665999999999997,83.7295,83.534,0.19549999999999557,memory
visa,pcb2,4,seg,94.85184299646396,93.63832377886925,1.2135192175947083,,,0.0,unknown
visa,fryum,4,cls,90.104,90.157,-0.05299999999999727,76.88600000000001,88.99600000000001,12.11,semantic
visa,cashew,4,cls,92.31800000000001,84.571,7.747000000000014,92.31800000000001,83.43599999999999,8.88200000000002,memory
visa,candle,4,seg,94.10934091363603,93.63903730599968,0.47030360763635315,,,0.0,unknown
visa,pcb2,4,cls,76.09590409590409,77.5104895104895,-1.4145854145854173,64.83616383616383,75.68031968031967,10.844155844155836,semantic
visa,pcb1,4,seg,98.32865313177177,96.84542778872213,1.4832253430496394,,,0.0,unknown
visa,macaroni1,4,seg,96.5926074277556,97.23929036096325,-0.6466829332076571,,,0.0,unknown
visa,pipe_fryum,4,cls,98.60200000000002,96.57,2.032000000000025,73.178,98.6,25.421999999999997,semantic
visa,pcb3,4,seg,96.40106196751977,93.98011941577114,2.420942551748624,,,0.0,unknown
visa,chewinggum,4,cls,95.84393638170974,95.0099403578529,0.8339960238568409,95.84393638170974,94.66600397614313,1.177932405566608,memory
mvtec,hazelnut,1,seg,98.78448912616335,98.6564924082063,0.12799671795704626,,,0.0,unknown
mvtec,capsule,1,cls,74.05265257279618,62.72437175907461,11.32828081372157,74.05265257279618,61.826884722776235,12.225767850019942,memory
mvtec,pill,1,seg,95.30837937110921,94.28040505400939,1.0279743170998188,,,0.0,unknown
mvtec,transistor,1,seg,89.95683704672817,75.87679219214544,14.080044854582724,,,0.0,unknown
mvtec,carpet,1,seg,99.36115552604993,99.26153615512,0.09961937092992912,,,0.0,unknown
