dataset,class,k_shot,task,mode,semantic_auroc,memory_auroc,branch_gap,weak_branch,auroc
visa,macaroni2,2,cls,harmonic,66.76149999999998,77.49499999999999,10.733500000000006,semantic,76.92049999999999
visa,macaroni2,2,cls,max,66.76149999999998,77.49499999999999,10.733500000000006,semantic,77.5565
mvtec,hazelnut,4,seg,max,88.02492326548888,98.75566561726087,10.730742351771994,semantic,98.75566561726087
mvtec,hazelnut,4,seg,oracle,88.02492326548888,98.75566561726087,10.730742351771994,semantic,98.75566561726087
mvtec,hazelnut,4,seg,harmonic,87.74941755378562,98.44657418120757,10.697156627421947,semantic,98.44657418120757
mvtec,screw,2,cls,max,66.41729862676777,55.91309694609551,10.504201680672267,memory,66.41729862676777
mvtec,screw,2,cls,harmonic,66.41729862676777,55.91309694609551,10.504201680672267,memory,58.03443328550932
mvtec,screw,2,cls,oracle,66.41729862676777,55.91309694609551,10.504201680672267,memory,100.0
visa,macaroni2,4,cls,max,63.1125,73.26400000000001,10.151500000000013,semantic,73.2415
visa,macaroni2,4,cls,oracle,63.1125,73.26400000000001,10.151500000000013,semantic,99.9885
visa,macaroni2,4,cls,harmonic,63.1125,73.26400000000001,10.151500000000013,semantic,71.03599999999999
