dataset,class,k_shot,task,mode,semantic_auroc,memory_auroc,branch_gap,weak_branch,auroc
mvtec,bottle,1,seg,oracle,45.56794422573619,98.58613954390843,53.01819531817224,semantic,98.58613954390843
visa,capsules,4,seg,harmonic,13.426689483562132,66.09944227315965,52.672752789597524,semantic,66.09944227315965
mvtec,grid,4,seg,max,98.18775299962769,45.71644315855205,52.47130984107564,memory,98.18775299962769
mvtec,grid,4,seg,oracle,98.18775299962769,45.71644315855205,52.47130984107564,memory,98.18775299962769
mvtec,grid,4,seg,harmonic,97.83749333809814,45.553361456222945,52.2841318818752,memory,97.83749333809814
visa,pcb1,1,seg,oracle,46.729629987908986,98.76956575640861,52.039935768499625,semantic,98.76956575640861
visa,pcb1,1,seg,max,46.729629987908986,98.76956575640861,52.039935768499625,semantic,98.76956575640861
mvtec,bottle,4,seg,oracle,47.36632901044928,98.7595403157847,51.39321130533543,semantic,98.7595403157847
mvtec,bottle,4,seg,max,47.36632901044928,98.7595403157847,51.39321130533543,semantic,98.7595403157847
mvtec,bottle,1,seg,harmonic,43.92749193554558,95.03702489448092,51.10953295893534,semantic,95.03702489448092
visa,pcb1,4,seg,max,47.42919077708231,98.32865313177177,50.89946235468946,semantic,98.32865313177177
visa,pcb1,4,seg,oracle,47.42919077708231,98.32865313177177,50.89946235468946,semantic,98.32865313177177
visa,pcb1,4,seg,harmonic,46.71375152798947,96.84542778872213,50.13167626073266,semantic,96.84542778872213
visa,pcb1,1,seg,harmonic,44.88186191562802,94.86405120033426,49.98218928470624,semantic,94.86405120033426
mvtec,bottle,4,seg,harmonic,45.70560561258966,95.2969059341314,49.591300321541745,semantic,95.2969059341314
mvtec,bottle,2,seg,max,50.22964234670831,98.61323145495248,48.38358910824417,semantic,98.61323145495248
mvtec,bottle,2,seg,oracle,50.22964234670831,98.61323145495248,48.38358910824417,semantic,98.61323145495248
mvtec,transistor,2,seg,harmonic,29.65029161339127,76.83287334451371,47.18258173112244,semantic,76.83287334451371
mvtec,cable,4,seg,max,50.08782157467853,97.0152546342577,46.92743305957917,semantic,97.0152546342577
mvtec,cable,4,seg,oracle,50.08782157467853,97.0152546342577,46.92743305957917,semantic,97.0152546342577
mvtec,bottle,2,seg,harmonic,48.61180021534281,95.43700655857165,46.82520634322884,semantic,95.43700655857165
mvtec,wood,4,seg,oracle,96.47848709171882,50.27742752975302,46.2010595619658,memory,96.47848709171882
mvtec,wood,4,seg,max,96.47848709171882,50.27742752975302,46.2010595619658,memory,96.47848709171882
mvtec,grid,1,seg,oracle,97.97881304649587,51.78047457391757,46.1983384725783,memory,97.97881304649587
mvtec,grid,1,seg,max,97.97881304649587,51.78047457391757,46.1983384725783,memory,97.97881304649587
mvtec,wood,4,seg,harmonic,96.20076076599004,50.13269717964234,46.0680635863477,memory,96.20076076599004
mvtec,cable,4,seg,harmonic,49.01549945145083,94.93827063766331,45.92277118621248,semantic,94.93827063766331
mvtec,grid,1,seg,harmonic,97.20243614922677,51.37016990764506,45.83226624158171,memory,97.20243614922677
mvtec,tile,4,seg,max,52.49936590345279,96.8700109677872,44.370645064334404,semantic,96.8700109677872
mvtec,tile,4,seg,oracle,52.49936590345279,96.8700109677872,44.370645064334404,semantic,96.8700109677872
mvtec,transistor,4,seg,max,47.682502154576476,91.98687823147993,44.30437607690346,semantic,91.98687823147993
mvtec,transistor,4,seg,oracle,47.682502154576476,91.98687823147993,44.30437607690346,semantic,91.98687823147993
mvtec,tile,4,seg,harmonic,52.16117133787895,96.24598607315072,44.08481473527177,semantic,96.24598607315072
visa,cashew,1,seg,harmonic,55.3303170527505,99.36933837335832,44.039021320607816,semantic,99.36933837335832
visa,pcb1,2,seg,oracle,54.54279964662615,98.50068337662134,43.95788372999519,semantic,98.50068337662134
visa,pcb1,2,seg,max,54.54279964662615,98.50068337662134,43.95788372999519,semantic,98.50068337662134
visa,pcb1,2,seg,harmonic,53.70468945713364,96.98711188882133,43.28242243168769,semantic,96.98711188882133
visa,cashew,1,seg,max,54.274758565081875,97.47362994222797,43.1988713771461,semantic,97.47362994222797
visa,cashew,1,seg,oracle,54.274758565081875,97.47362994222797,43.1988713771461,semantic,97.47362994222797
visa,candle,1,seg,max,52.260750704209826,94.4360132864848,42.17526258227497,semantic,94.4360132864848
visa,candle,1,seg,oracle,52.260750704209826,94.4360132864848,42.17526258227497,semantic,94.4360132864848
visa,candle,1,seg,harmonic,51.84592758146455,93.68642126181535,41.840493680350804,semantic,93.68642126181535
mvtec,grid,2,seg,oracle,98.10121221779853,56.41158792835608,41.689624289442456,memory,98.10121221779853
mvtec,grid,2,seg,max,98.10121221779853,56.41158792835608,41.689624289442456,memory,98.10121221779853
mvtec,grid,2,seg,harmonic,97.22810496143019,55.909521076682935,41.318583884747255,memory,97.22810496143019
mvtec,metal_nut,1,seg,harmonic,49.8507061049715,89.36561412371184,39.514908018740336,semantic,89.36561412371184
mvtec,metal_nut,1,seg,max,49.52498801157845,88.78171071046867,39.25672269889022,semantic,88.78171071046867
mvtec,metal_nut,1,seg,oracle,49.52498801157845,88.78171071046867,39.25672269889022,semantic,88.78171071046867
mvtec,transistor,4,seg,harmonic,41.38621626283304,79.84037464077437,38.45415837794133,semantic,79.84037464077437
visa,pcb3,1,seg,max,61.45373673385205,96.08172496932903,34.627988235476984,semantic,96.08172496932903
visa,pcb3,1,seg,oracle,61.45373673385205,96.08172496932903,34.627988235476984,semantic,96.08172496932903
mvtec,wood,1,seg,max,61.842660988259496,95.32879509404994,33.48613410579044,semantic,95.32879509404994
mvtec,wood,1,seg,oracle,61.842660988259496,95.32879509404994,33.48613410579044,semantic,95.32879509404994
visa,pcb3,1,seg,harmonic,59.205115811725605,92.56604978857116,33.36093397684556,semantic,92.56604978857116
mvtec,wood,1,seg,harmonic,60.44223101372075,93.17007003350129,32.72783901978054,semantic,93.17007003350129
visa,pcb4,4,seg,oracle,65.56300793435463,97.9433273780934,32.38031944373877,semantic,97.9433273780934
visa,pcb4,4,seg,max,65.56300793435463,97.9433273780934,32.38031944373877,semantic,97.9433273780934
visa,pcb4,4,seg,harmonic,65.52451196112263,97.88581897773484,32.361307016612216,semantic,97.88581897773484
visa,pcb4,1,seg,oracle,65.05690530017442,96.99262528999894,31.93571998982452,semantic,96.99262528999894
visa,pcb4,1,seg,max,65.05690530017442,96.99262528999894,31.93571998982452,semantic,96.99262528999894
visa,pcb4,1,seg,harmonic,65.02791851369834,96.9494092085382,31.92149069483986,semantic,96.9494092085382
visa,pcb4,2,seg,max,64.97393548623202,96.85820497876166,31.88426949252964,semantic,96.85820497876166
