,i_roc,semantic_i_roc,memory_i_roc
mvtec-carpet,100.00,99.96,99.88
mvtec-grid,99.42,99.29,95.32
mvtec-leather,100.00,100.00,99.08
mvtec-tile,100.00,100.00,100.00
mvtec-wood,99.04,98.20,98.42
mvtec-bottle,99.68,97.38,99.68
mvtec-cable,97.68,88.50,95.43
mvtec-capsule,93.66,91.50,84.16
mvtec-hazelnut,100.00,92.79,100.00
mvtec-metal_nut,100.00,91.94,100.00
mvtec-pill,95.72,88.07,94.79
mvtec-screw,67.06,59.90,66.20
mvtec-toothbrush,97.50,86.94,97.22
mvtec-transistor,93.88,91.04,87.54
mvtec-zipper,97.90,97.40,91.89
