dataset,class,k_shot,task,semantic_auroc
mvtec,carpet,4,cls,100.0
mvtec,toothbrush,4,cls,84.44444444444444
mvtec,metal_nut,4,seg,84.007696336274
mvtec,zipper,4,cls,94.47216386554622
mvtec,bottle,4,seg,90.33996393728684
mvtec,tile,4,cls,100.0
mvtec,leather,4,seg,99.09625279477402
mvtec,cable,4,seg,92.19115889567271
mvtec,screw,4,seg,89.92518126227725
mvtec,metal_nut,4,cls,87.2434017595308
mvtec,grid,4,cls,99.83291562238932
