dataset,class,k_shot,task,auroc_baseline_harmonic,auroc_gate_max,diff,better
mvtec,transistor,4,seg,93.07,91.98687823147992,-1.0831217685200727,False
mvtec,zipper,4,cls,97.22,94.47216386554622,-2.7478361344537774,False
mvtec,zipper,4,seg,89.91,92.8214990690116,2.9114990690115974,True
visa,candle,1,cls,93.89,95.5905,1.7005000000000052,True
visa,candle,1,seg,94.44,94.4360132864848,-0.003986713515203633,False
visa,capsules,1,cls,74.76,74.21677740863787,-0.543222591362138,False
visa,capsules,1,seg,93.38,93.3870533413448,0.007053341344800401,True
visa,cashew,1,cls,87.81,93.183,5.373000000000005,True
visa,cashew,1,seg,97.47,97.47362994222796,0.0036299422279597593,True
visa,chewinggum,1,cls,96.11,95.58051689860837,-0.5294831013916337,False
visa,chewinggum,1,seg,99.04,99.03873471946387,-0.0012652805361312858,False
visa,fryum,1,cls,88.99,84.212,-4.777999999999992,False
visa,fryum,1,seg,94.39,94.38613996619983,-0.003860033800165752,False
visa,macaroni1,1,cls,85.65,76.9,-8.75,False
visa,macaroni1,1,seg,95.58,95.58183944106597,0.001839441065968117,True
visa,macaroni2,1,cls,73.19,68.027,-5.162999999999997,False
visa,macaroni2,1,seg,95.14,95.13437967808234,-0.005620321917660931,False
visa,pcb1,1,cls,94.48,92.0921314741036,-2.3878685258964083,False
visa,pcb1,1,seg,98.77,98.7695657564086,-0.0004342435913997633,False
visa,pcb2,1,cls,77.09,78.60639360639361,1.5163936063936063,True
visa,pcb2,1,seg,95.27,95.27105818107046,0.001058181070462183,True
visa,pcb3,1,cls,76.14,75.58946322067594,-0.5505367793240623,False
visa,pcb3,1,seg,96.08,96.08172496932904,0.001724969329046644,True
visa,pcb4,1,cls,87.85,86.64875621890548,-1.2012437810945187,False
visa,pcb4,1,seg,96.99,96.99262528999894,0.0026252899989458456,True
visa,pipe_fryum,1,cls,97.99,99.238,1.2480000000000047,True
visa,pipe_fryum,1,seg,99.37,99.37159990166818,0.0015999016681718103,True
visa,candle,2,cls,94.86,95.118,0.25799999999999557,True
visa,candle,2,seg,95.18,95.16104574467902,-0.01895425532099182,False
visa,capsules,2,cls,72.8,76.17109634551495,3.3710963455149567,True
visa,capsules,2,seg,94.41,94.41353723781054,0.003537237810547822,True
visa,cashew,2,cls,90.4,92.38,1.9799999999999898,True
visa,cashew,2,seg,96.22,95.56591149712948,-0.6540885028705219,False
visa,chewinggum,2,cls,97.19,95.96123260437376,-1.2287673956262353,False
visa,chewinggum,2,seg,99.21,99.20893545608756,-0.0010645439124346012,False
visa,fryum,2,cls,89.96,86.24300000000001,-3.7169999999999845,False
visa,fryum,2,seg,95.36,95.36518294968003,0.005182949680033744,True
visa,macaroni1,2,cls,85.75,86.206,0.45600000000000307,True
visa,macaroni1,2,seg,96.57,96.57013187192815,0.0001318719281613312,True
visa,macaroni2,2,cls,74.74,77.5565,2.816500000000005,True
visa,macaroni2,2,seg,95.71,95.70362622254709,-0.006373777452907348,False
visa,pcb1,2,cls,94.15,93.1195219123506,-1.0304780876493993,False
visa,pcb1,2,seg,98.5,98.50068337662134,0.0006833766213389936,True
visa,pcb2,2,cls,77.09,75.15784215784215,-1.9321578421578494,False
visa,pcb2,2,seg,95.45,95.450189519029,0.00018951902899289053,True
visa,pcb3,2,cls,79.78,73.76888667992048,-6.011113320079517,False
visa,pcb3,2,seg,95.41,95.40766167537689,-0.002338324623110566,False
visa,pcb4,2,cls,83.45,85.7636815920398,2.3136815920397993,True
visa,pcb4,2,seg,96.86,96.85820497876166,-0.001795021238336858,False
visa,pipe_fryum,2,cls,98.8,98.791,-0.009000000000000341,False
visa,pipe_fryum,2,seg,99.54,99.53953816028184,-0.0004618397181701539,False
visa,candle,4,cls,95.65,95.113,-0.5370000000000061,False
visa,candle,4,seg,94.11,94.10934091363605,-0.0006590863639530653,False
visa,capsules,4,cls,74.25,70.1295681063123,-4.1204318936876945,False
visa,capsules,4,seg,95.63,95.631540283649,0.001540283649006824,True
visa,cashew,4,cls,88.34,92.318,3.9779999999999944,True
visa,cashew,4,seg,95.3,95.29732625458232,-0.0026737454176810616,False
visa,chewinggum,4,cls,96.48,95.84393638170974,-0.6360636182902653,False
