,i_roc,p_roc,semantic_i_roc,memory_i_roc
mvtec-carpet,100.00,99.42,99.96,99.80
mvtec-grid,97.91,98.10,98.25,97.24
mvtec-leather,100.00,99.39,100.00,99.86
mvtec-tile,99.93,97.04,99.89,98.59
mvtec-wood,99.56,96.57,99.12,98.86
mvtec-bottle,99.60,98.61,95.71,99.52
mvtec-cable,94.45,96.00,83.42,92.82
mvtec-capsule,85.16,95.44,85.16,84.72
mvtec-hazelnut,99.93,98.89,91.21,99.86
mvtec-metal_nut,99.66,94.36,88.51,99.41
mvtec-pill,93.40,96.00,84.72,92.80
mvtec-screw,62.92,92.10,61.63,55.87
mvtec-toothbrush,93.89,98.38,65.00,94.17
mvtec-transistor,93.00,87.80,87.29,86.87
mvtec-zipper,97.06,92.58,97.26,73.06
