dataset,class_name,k_shot,r_mem_margin,r_mem_entropy,r_mem_centroid,r_sem_prompt_var,r_sem_prompt_margin,r_sem_extremity,memory_avg_auc,semantic_avg_auc,overall_avg_auc
mvtec,bottle,4,0.4404761904761905,0.35079365079365077,0.8960317460317461,0.7380952380952381,0.15158730158730158,0.5,0.5624338624338625,0.4632275132275132,0.5128306878306879
mvtec,cable,4,0.4688905547226387,0.43703148425787103,0.6293103448275861,0.21889055472263869,0.6476761619190405,0.5,0.5117441279360319,0.45552223888055976,0.4836331834082958
mvtec,capsule,4,0.6049062624650977,0.5865576386118868,0.5301156761069007,0.5911447945751895,0.46529716792979664,0.5,0.5738598590612951,0.5188139875016621,0.5463369232814785
mvtec,carpet,4,0.40930979133226325,0.37178972712680575,0.5626003210272874,0.9915730337078652,0.003611556982343504,0.5,0.4478999464954521,0.49839486356340296,0.47314740502942754
mvtec,grid,4,0.42564745196324144,0.5509607351712614,0.4862155388471178,0.6808688387635756,0.373015873015873,0.5,0.48760790866054027,0.5179615705931496,0.502784739626845
mvtec,hazelnut,4,0.5358928571428572,0.49642857142857144,0.7978571428571428,0.6221428571428571,0.5064285714285715,0.5,0.6100595238095238,0.5428571428571428,0.5764583333333333
mvtec,leather,4,0.35648777173913043,0.3347486413043478,0.752547554347826,0.7204483695652174,0.14419157608695654,0.5,0.48126132246376807,0.4548799818840579,0.46807065217391297
mvtec,metal_nut,4,0.48240469208211145,0.4802052785923754,0.39540566959921797,0.7825024437927663,0.488514173998045,0.5,0.4526718800912349,0.5903388725969371,0.521505376344086
mvtec,pill,4,0.4959083469721768,0.47926895799236224,0.7438625204582651,0.7313147845062739,0.486088379705401,0.5,0.5730132751409347,0.5724677214038917,0.5727404982724131
mvtec,screw,4,0.5567739290838286,0.5205984832957573,0.6640705062512811,0.5726583316253331,0.3783562205369953,0.5,0.5804809728769557,0.4836715173874428,0.5320762451321992
mvtec,tile,4,0.5299422799422799,0.4368686868686869,0.9520202020202021,0.24386724386724384,0.5717893217893217,0.5,0.6396103896103896,0.4385521885521885,0.539081289081289
mvtec,toothbrush,4,0.5791666666666666,0.5180555555555555,0.5680555555555555,0.32222222222222224,0.5666666666666667,0.5,0.5550925925925926,0.46296296296296297,0.5090277777777777
mvtec,transistor,4,0.5627083333333334,0.5658333333333333,0.6470833333333332,0.3420833333333333,0.5872916666666667,0.5,0.5918749999999999,0.47645833333333326,0.5341666666666666
mvtec,wood,4,0.5820175438596491,0.4903508771929824,0.8635964912280701,0.4184210526315789,0.3767543859649123,0.5,0.6453216374269005,0.43172514619883035,0.5385233918128655
mvtec,zipper,4,0.45128676470588236,0.4012605042016807,0.7485556722689075,0.380514705882353,0.5769432773109243,0.5,0.5337009803921569,0.48581932773109243,0.5097601540616247
visa,candle,4,0.28773000000000004,0.3798,0.410765,0.55523,0.8307499999999999,0.5,0.35943166666666665,0.62866,0.4940458333333333
visa,capsules,4,0.47239202657807305,0.4588953488372093,0.5374252491694351,0.33204318936877075,0.6561960132890365,0.5,0.4895708748615725,0.4960797342192691,0.49282530454042084
visa,cashew,4,0.50856,0.64557,0.97238,0.55962,0.4407,0.5,0.7088366666666666,0.5001066666666666,0.6044716666666665
visa,chewinggum,4,0.3595526838966203,0.3803677932405567,0.5954970178926442,0.7649105367793241,0.2671868787276342,0.5,0.4451391650099404,0.5106991385023194,0.47791915175612987
visa,fryum,4,0.28719,0.42577,0.89724,0.50997,0.34914,0.5,0.5367333333333334,0.4530366666666667,0.494885
visa,macaroni1,4,0.523065,0.48506,0.5489,0.6025600000000001,0.41815,0.5,0.5190083333333333,0.5069033333333334,0.5129558333333333
visa,macaroni2,4,0.470245,0.47313,0.6112500000000001,0.58663,0.429185,0.5,0.5182083333333334,0.5052716666666667,0.5117400000000001
visa,pcb1,4,0.3761902390438247,0.40792330677290833,0.3946115537848605,0.40437250996015933,0.6871165338645419,0.5,0.39290836653386446,0.5304963479415671,0.4617023572377158
visa,pcb2,4,0.47309190809190804,0.3575174825174825,0.8402647352647352,0.5168481518481518,0.4028071928071928,0.5,0.5569580419580419,0.4732184482184482,0.515088245088245
visa,pcb3,4,0.7076093439363816,0.6206809145129224,0.5207306163021869,0.5099105367793241,0.5775347912524851,0.5,0.6163402915838304,0.5291484426772697,0.5727443671305501
visa,pcb4,4,0.5945323383084578,0.6320547263681592,0.2579253731343284,0.38855721393034837,0.40291542288557214,0.5,0.49483747927031513,0.4304908789386402,0.46266417910447766
visa,pipe_fryum,4,0.26722,0.32165,0.62872,0.50396,0.31588,0.5,0.4058633333333333,0.43994666666666665,0.422905
