,i_roc,semantic_i_roc,memory_i_roc,p_roc
mvtec-carpet,100.00,99.96,99.88,99.37
mvtec-grid,97.74,98.25,95.49,97.85
mvtec-leather,100.00,100.00,99.80,99.45
mvtec-tile,100.00,100.00,98.56,96.66
mvtec-wood,99.30,99.47,98.07,95.40
mvtec-bottle,99.84,97.10,99.76,98.64
mvtec-cable,92.22,82.99,89.17,96.60
mvtec-capsule,70.32,70.54,61.79,94.55
mvtec-hazelnut,99.75,93.57,99.82,98.78
mvtec-metal_nut,99.22,93.21,98.78,90.21
mvtec-pill,94.14,85.87,93.37,95.12
mvtec-screw,56.26,55.97,54.09,94.95
mvtec-toothbrush,94.17,73.89,94.44,98.34
mvtec-transistor,85.21,84.81,67.12,89.99
mvtec-zipper,97.01,96.56,92.20,92.28
