metric,label,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
A_hit_mean,异常max偶然命中(均值),0.17212795433179517,0.39060805749703076,0.18775759644793974,0.34833197151715456,27
A_hit_p95,异常max偶然命中(P95),0.1552473442725731,0.43939030035988164,0.15112196787273197,0.45179069087632573,27
B_separation,判别分离度,0.13346551865463438,0.5069012752937282,0.06319645929223336,0.7541643115800895,27
B_overlap,裕度重叠率,-0.15903782607050507,0.42816026329933254,-0.18165165835207178,0.36451108569409985,27
C_collapse_score,原型塌缩分数,-0.19345050111896678,0.3336401489858289,-0.13131775996729075,0.5138233604814118,27
D_max_proto_count,坏原型责任(最大计数),-0.16804101985602776,0.40212536516758834,-0.13855792382133794,0.4906746873257978,27
E_semantic_gap,语义分数区分度,0.17735794841122532,0.3761475166573057,0.15577578338505635,0.43781524722391474,27
